,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,9995,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'btc-ecosystem']",21000000.0,19306187.0,19306187.0,,1,,,,2023-03-02T17:45:00.000Z,23271.644699405482,21040235374.065643,-16.537,-0.08604218,-1.95823029,-2.70624945,0.43170876,40.30699168,37.27963114,449286724364.281,42.3309,488704538687.52,,2023-03-02T17:45:00.000Z,,,,,,2023-03-02 17:47:54.683718
1,1027,Ethereum,ETH,ethereum,6516,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122373866.2178,122373866.2178,,2,,,,2023-03-02T17:45:00.000Z,1625.2935954499928,7036372061.295544,-12.833,0.08108807,-1.97135256,-1.93095294,1.91286986,35.37455486,26.89171424,198893461014.2446,18.7393,198893461014.24,,2023-03-02T17:45:00.000Z,,,,,,2023-03-02 17:47:54.683718
2,825,Tether,USDT,tether,48675,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,71062808809.48134,73141766321.23428,,3,,,,2023-03-02T17:45:00.000Z,1.000081890949345,29715026565.013214,-15.5588,-0.00262299,-0.00995464,-0.00343525,-0.00091627,0.04205634,0.00171734,71068628210.35786,6.6973,73147755969.92,,2023-03-02T17:45:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-03-02 17:47:54.683718
3,1839,BNB,BNB,bnb,1204,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain']",,157894817.26532254,159979963.59042934,,4,,,,2023-03-02T17:45:00.000Z,297.34996856991205,370351983.5145474,-5.3204,0.06981115,-1.80848642,-3.75315065,-4.80629715,21.29568306,2.47090737,46950018951.19566,4.4235,47570037145.43,,2023-03-02T17:45:00.000Z,,,,,,2023-03-02 17:47:54.683718
4,3408,USD Coin,USDC,usd-coin,10413,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,42932567659.56862,42932567659.56862,,5,,,,2023-03-02T17:45:00.000Z,1.0002500331305593,3568207954.393588,-5.0,0.03108752,0.01917736,0.01610533,0.00590625,0.01325695,0.02129995,42943302223.86349,4.0491,42943302223.86,,2023-03-02T17:45:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-03-02 17:47:54.683718
5,52,XRP,XRP,xrp,897,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,50950912949.0,99989113908.0,,6,,,,2023-03-02T17:45:00.000Z,0.3759972806925551,849740708.6511806,-12.9312,0.29464509,-1.54084126,-3.25641435,-7.11498148,11.13282708,-3.59557293,19157404717.627094,1.805,37599728069.26,,2023-03-02T17:45:00.000Z,,,,,,2023-03-02 17:47:54.683718
6,2010,Cardano,ADA,cardano,660,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34670958937.544,35538184453.812,,7,,,,2023-03-02T17:45:00.000Z,0.3466508533970143,240089643.65727443,-11.0109,-0.03796419,-4.03275931,-9.67391212,-10.64947888,39.53820482,9.30926271,12018717503.792467,1.1326,15599288402.87,,2023-03-02T17:45:00.000Z,,,,,,2023-03-02 17:47:54.683718
7,74,Dogecoin,DOGE,dogecoin,649,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,8,,,,2023-03-02T17:45:00.000Z,0.08008755413419692,235262458.86719254,-28.201,0.05353018,-2.18142047,-5.31853198,-15.850121,14.50741544,-19.05269727,10625277017.89305,1.0011,10625277017.89,,2023-03-02T17:45:00.000Z,,,,,,2023-03-02 17:47:54.683718
8,3890,Polygon,MATIC,polygon,596,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,8734317475.28493,10000000000.0,,9,,,,2023-03-02T17:45:00.000Z,1.1962365080516757,370167429.2673799,-34.245,0.03102923,-2.74201568,-11.67533887,6.77005124,57.47077669,30.18973568,10448309436.849571,0.9844,11962365080.52,,2023-03-02T17:45:00.000Z,,,,,,2023-03-02 17:47:54.683718
9,4687,Binance USD,BUSD,binance-usd,6337,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin', 'optimism-ecosystem']",,10086531691.313375,10086531691.313375,,10,,,,2023-03-02T17:45:00.000Z,1.000417227410537,5668691871.6248,-10.0969,0.04777982,0.01169603,0.01405807,0.02246489,0.00237171,0.02759982,10090740068.81224,0.9507,10090740068.81,,2023-03-02T17:45:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2023-03-02 17:47:54.683718
